Course, Successor
5 Credits Approved design elective,Senior Electives Complete
5 Credits of 300- or 400-level TCSS elective,5 More Credits of 300- or 400-level TCSS elective
5 More Credits of 300- or 400-level TCSS elective,Senior Electives Complete
5 Credits of 400-level TCSS elective,5 More Credits of 400-level TCSS elective
5 More Credits of 400-level TCSS elective,Senior Electives Complete
